id,main_speaker,main_speaker_description
22,Abigail Marsh,"Abigail Marsh (born 1976) is a psychologist and  neuroscientist who works as a professor at Georgetown University's Department of Psychology and the Interdisciplinary Neuroscience Program, where she is the director of the Laboratory on Social and Affective Neuroscience."
23,Abigail Spanberger,"Abigail Anne Spanberger (née Davis, August 7, 1979) is an American politician serving as the U.S. Representative for Virginia's 7th congressional district since 2019."
24,Abigail Washburn,"Abigail Washburn (born November 10, 1977) is an American clawhammer banjo player and singer."
25,Abraham Verghese,"Abraham Verghese (born 1955) is an American physician, author, Professor for the Theory and Practice of Medicine at Stanford University Medical School and Senior Associate Chair of the Department of Internal Medicine."
26,Achenyo Idachaba,Achenyo Idachaba (born c.
27,Achim Steiner,Achim Steiner (born 17 May 1961) is an environmentalist who currently serves as the Administrator of the United Nations Development Programme and Chairman of United Nations Sustainable Development Group.
28,Achin Bhowmik,A list of films produced by the Tollywood (Bengali language film industry) based in Kolkata in the year 2010.
29,Adam Alter,
30,Adam Carroll,Adam Carroll (born 26 October 1982) is a Northern Irish professional racing driver.
31,Adam Cutler,
32,Adam Davidson,
33,Adam Driver,
34,Adam Foss,
35,Adam Galinsky,"Adam Daniel Galinsky (born 1969) is an American social psychologist known for his research on leadership, power, negotiations, decision-making, diversity, and ethics."
36,Adam Garone,"Movember (a portmanteau of the Australian-English diminutive word for moustache, ""mo"", and ""November"") is an annual event involving the growing of moustaches during the month of November to raise awareness of men's health issues, such as prostate cancer, testicular cancer, and men's suicide."
37,Adam Garske,"Quintin ""Quinn"" Hughes (born October 14, 1999) is an American professional ice hockey defenseman for the Vancouver Canucks of the National Hockey League (NHL)."
38,Adam Grant,"Adam M. Grant (born August 13, 1981) is an American psychologist and author who is currently a professor at the Wharton School of the University of Pennsylvania specializing in organizational psychology."
39,Adam Grosser,"Icyball is a name given to two early refrigerators, one made by Australian Sir Edward Hallstrom in 1923, and the other design patented by David Forbes Keith of Toronto (filed 1927, granted 1929), and manufactured by American Powel Crosley Jr., who bought the rights to the device."
40,Adam Kucharski,
41,Adam Ostrow,"Adam Ostrow is an American businessman, writer and speaker who currently serves as the Chief Digital Officer at TEGNA Inc."
42,Adam Sadowsky,"Adam Sadowsky (born October 28, 1970) is an American entrepreneur and former actor."
43,Adam Savage,"Adam Whitney Savage (born July 15, 1967) is an American special effects designer and fabricator, actor, educator, and television personality and producer, known as the former co-host (with Jamie Hyneman) of the Discovery Channel television series MythBusters and Unchained Reaction."
44,Adam Spencer,"Adam Barrington Spencer (born 29 January 1969) is an Australian comedian, media personality and former radio presenter."
45,Adam de la Zerda,"The naval Battle of Augusta, sometimes spelled Agosta and also known as the Battle of Etna, took place on 22 April 1676 during the Franco-Dutch War and was fought between a French fleet of 29 man-of-war, five frigates and eight fireships under Abraham Duquesne, and a Dutch-Spanish fleet of at least 27 warships (17 Dutch, 10 Spanish) besides several frigates and five fireships with a Spanish admiral in overall command and Dutch Lieutenant-Admiral-General Michiel de Ruyter commanding the squadron most involved in the fighting."
46,Adar Cohen,Har Adar (Hebrew: הַר אֲדָר‎) is an Israeli settlement organized as a local council in the Seam Zone and the Maccabim sub-region of the West Bank.
47,Addison Anderson,"Addison Jayne Timlin White (née Timlin; born June 29, 1991) is an American actress, best known for her roles as Jami Lerner in The Town That Dreaded Sundown (2014) and Colleen Lunsford in Little Sister (2016)."
48,Adena Friedman,Adena T. Friedman (born Adena Robinson Testa; 1969) is an American businesswoman.
49,Adeola Fayehun,"Adeola Eunice Oladele Fayehun (born July 6, 1984) is a Nigerian journalist who specializes in discussing current geopolitical, social and economic  issues that affect the daily lives of Africans living on the continent."
50,Adie Delaney,Silent Witness is a  British television drama.
51,Aditi Gupta,Aditi Gupta is an Indian author and co-founder of Menstrupedia Comic.
52,Aditi Shankardass,Aditi Shankardass (Hindi: अदिती शंकरदास) is a British neuroscientist.
53,Adong Judith,Adong Judith a Ugandan playwright and filmmaker.
54,Adora Svitak,"Adora Svitak (born October 15, 1997)  is an American writer, public speaker, former child prodigy, and activist."
55,Adrienne Mayor,Adrienne Mayor (born 1946) is a historian of ancient science and a classical folklorist.
56,Adrián Paenza,Adrián Arnoldo Paenza (born 9 May 1949) is an Argentine journalist and PhD in mathematical sciences from the University of Buenos Aires (UBA).
57,Afra Raymond,"The Borough of Chaguanas is the largest borough (83,489 at the 2011 census) and fastest-growing town in Trinidad and Tobago."
58,Agnes Binagwaho,Agnes Binagwaho is a Rwandan pediatrician and currently the Vice Chancellor of the University of Global Health Equity.
59,Ahmad M. Hasnah,Madu Tiga (Three Wives) is a 1964 black-and-white Singaporean romantic comedy film directed by and starring Malaysian artiste P. Ramlee.
60,Ahn Trio,"The Ahn Trio is a classical piano trio composed of three sisters: Angella (violin), Lucia (piano), and Maria (cello) Ahn."
61,Ai-jen Poo,"Ai-jen Poo (, Chinese: 蒲艾眞; pinyin: Pú Àizhēn; born 1974) is an American labor activist."
62,Aicha el-Wafi + Phyllis Rodriguez,"Quadriga was an annual German award sponsored by Netzwerk Quadriga gGmbH, a non-profit organization based in Berlin."
63,Aimee Mullins,"Aimee Mullins (born July 20, 1975) is an American athlete, actress, and public speaker."
64,Aimée Eubanks Davis,"Braven is a non-profit organization that provides supplementary education to underrepresented, low-income college students to help them transition from college to post-graduate jobs."
65,Aja Monet and phillip agnew,"This list of stages lists names used by those in the entertainment industry, alphabetically by their stage name's surname, followed by their birth name."
66,Ajay Banga,"Ajaypal Singh Banga (born November 10, 1959) is an Indian-American business executive."
67,Ajit Narayanan,"Ajit Narayanan (born August 21, 1981) is the inventor of FreeSpeech, a picture language with a deep grammatical structure."
68,Akash Manoj,Akash Manoj is an Indian cardiology researcher and inventor from Tamil Nadu.
69,Akshita Agarwal,"In economics, utility is the satisfaction or benefit derived by consuming a product; thus the marginal utility of a good or service is the change in the utility from an increase in the consumption of that good or service."
70,Al Gore,
71,"Al Gore, Gloria Kasang Bulus, Nana Firman, Ximena Loría and Tim Guinee",
72,Al Seckel,"Alfred Paul ""Al"" Seckel (September 3, 1958 – 2015) was an American collector and popularizer of visual and other types of sensory illusions, who wrote books about them."
73,Al Vernacchio,"In American slang, baseball metaphors for sex are often used as euphemisms for the degree of physical intimacy achieved in sexual encounters or relationships."
74,Alaa Murabit,"Alaa Murabit  (Arabic: آلاء المرابط‎; born 26 October 1989) is a Libyan-Canadian physician, Meritorious Service Cross recipient, one of 17 Global Sustainable Development Goals Advocates appointed by the Secretary-General of the United Nations, and a UN High-Level Commissioner on Health Employment and Economic growth."
75,Alain de Botton,
76,Alan Amling,This is a list of all airline codes.
77,Alan Crickmore,Lockheed Have Blue was the code name for Lockheed's proof of concept demonstrator for a stealth bomber.
78,Alan Eustace,Robert Alan Eustace is an American computer scientist who served as Senior Vice President of Engineering at Google until 2015.
79,Alan Iny,"Archeological Site CA-INY-134, in Inyo County, California near Olancha, California, is an archeological site that is listed on the National Register of Historic Places (NRHP)."
80,Alan Kay,"Alan Curtis Kay (born May 17, 1940) is an American computer scientist."
81,Alan Lupack,"Merlin (Welsh: Myrddin, Cornish: Marzhin, Breton: Merzhin) is a mythological figure prominently featured in the legend of King Arthur and best known as an enchanter or wizard."
82,Alan Russell,"Alan Russell (born June 4, 1956) is an American novelist."
83,Alan Siegel,"Alan Siegel (born August 26, 1938) is the CEO of Siegelvision, a brand identity consultancy."
84,Alan Smith,
85,Alanna Shaikh,"One Laptop per Child (OLPC) was a non-profit initiative established with the goal of transforming education for children around the world; this goal was to be achieved by creating and distributing educational devices for the developing world, and by creating software and content for those devices."
86,Alasdair Harris,Alasdair Crotach MacLeod (Scottish Gaelic: Alasdair Crotach MacLeòid) (1450 – 1547) is considered to be the 8th Chief of Clan MacLeod.
87,Alastair Gray,Alastair Gray (born 22 June 1998) is a British tennis player.
88,Alastair O'Neill,"Live in Colombia is a live concert performance by the Alan Parsons Symphonic Project and released on double CD, triple vinyl and as a DVD on 27 May 2016 on the earMUSIC label."
89,Alastair Parvin,WikiHouse is an open-source project for designing and building houses.
90,Alba Sotorra,The Return: Life After ISIS is an 2021 British-Spanish documentary film directed and produced by Alba Sotorra.
91,Albert-László Barabási,"Albert-László Barabási (born March 30, 1967) is a Romanian-born Hungarian-American physicist, best known for his work in the research of network theory."
92,Alberto Cairo,Alberto Cairo (born 1974 in A Coruña) is a Spanish information designer and professor.
93,Alberto Garín,Cristian Ignacio Garín Medone (Spanish pronunciation: [ˈkɾistjaŋ ɡaˈɾin]; born 30 May 1996) is a Chilean professional tennis player.
94,Alec Soth and Stacey Baker,"Brad Zellar (born November 16, 1961) is an American author and journalist."
95,Alejandro Aravena,"Alejandro Gastón Aravena Mori (born 22 June 1967) is a Chilean architect and executive director of the firm Elemental S.A.  He won the Pritzker Architecture Prize in 2016, and also, he was the director and curator of the Architecture Section of the 2016 Venice Biennale."
96,Alejandro Chaskielberg,The World Photography Organisation is a global platform for photography initiatives.
97,Alejandro Durán,"Alejandro Durán (born as Alejandro Durán Fernández in  San Luis Potosí, Mexico), is a Mexican television actor."
98,Alejandro Nespral,Univision (Spanish pronunciation: [uniβiˈsjon] (listen)) is an American Spanish-language free-to-air television network owned by Univision Communications.
99,Alejandro Sánchez Alvarado,"Alejandro Sánchez Alvarado is a molecular biologist, an investigator of the Howard Hughes Medical Institute, and Executive Director and Chief Scientific Officer of the Stowers Institute for Medical Research."
100,Aleph Molinari,The Fundación Proacceso is a non-profit organization that focuses on bridging the digital divide and providing educational tools in low-income areas in Mexico.
101,Alessandra Orofino,
102,Alessandro Acquisti,Alessandro Bastoni (born 13 April 1999) is an Italian professional footballer who plays as a defender for [[Manchester city]club Inter Milan 2016-2021 and the Italy national team.
103,Alex Apella,"Good Mythical Morning is an American comedy web series created by Rhett McLaughlin and Link Neal that first aired on YouTube on January 9, 2012."
104,Alex Edmans,Alex Edmans is professor of finance at London Business School and the current Mercers' School Memorial Professor of Business at Gresham College.
105,Alex Gendler,"In economics, utility is the satisfaction or benefit derived by consuming a product; thus the marginal utility of a good or service is the change in the utility from an increase in the consumption of that good or service."
106,Alex Honnold,
107,Alex Kipman,
108,Alex Laskey,"Opower was an American company founded in 2007, that provides a software-as-a-service customer engagement platform for utilities."
109,Alex Rosenthal,"The Children of Rosenthal (Russian: Дети Розенталя, romanized: D'eti Rozental'a) is a 2005 postmodern opera in two acts by Leonid Desyatnikov to a Russian libretto by Vladimir Sorokin."
110,Alex Rosenthal and George Zaidan,"2005 in film is an overview of events, including the highest-grossing films, award ceremonies, festivals, a list of country-specific lists of films released, notable deaths and film debuts."
111,Alex Rosenthal and Pall Thordarson,
112,Alex Steffen,Alex Steffen (born c.
113,Alex Tabarrok,"Alexander Taghi Tabarrok (Arabic:ألكساندر تاغي طبارك ;born November 11, 1966) is a Canadian-American economist."
114,Alex Wissner-Gross,Alexander D. Wissner-Gross is an American research scientist and entrepreneur.
115,Alexa Meade,Alexa Meade (born 1986) is an American installation artist best known for her portraits painted directly onto the human body and inanimate objects in a way that collapses depth and makes her models appear two-dimensional when photographed.
116,Alexander Belcredi,"Count Richard von Belcredi (German: Richard Graf Belcredi; 12 February 1823 – 2 December 1902) was an Austrian civil servant and statesman, who served as Minister-President(and 'Minister of State') of the Austrian Empire from 1865 to 1867."
117,Alexander Betts,
118,Alexander Leitner,"The mitochondrial ribosome, or mitoribosome, is a protein complex that is active in mitochondria and functions as a riboprotein for translating mitochondrial mRNAs encoded in mtDNA. Mitoribosomes, like cytoplasmic ribosomes, consist of two subunits — large (mtLSU) and small (mt-SSU)."
119,Alexander MacDonald,
120,Alexander McLean,"Alexander James McLean (born January 9, 1978) is an American singer, songwriter, actor, dancer, and model."
121,Alexander Tsiaras,"Alexander Tsiaras is an American photographer, painter, and journalist who made 120 covers for various magazines and was a founder of TheVisualMD. Biography: He was born in Nashua, New Hampshire, in 1953, and educated at Phillips Andover, Amherst College."
122,Alexander Tuerpitz,
123,Alexander Wagner,Alexander (Aleksander) Wagner (7 August 1868 – 1942) was a Polish chess correspondence master and theoretician.
124,Alexandra Auer,Margit Auer (born 23 February 1967) is a German author.
125,Alexandra Horowitz,"Inside of a Dog: What Dogs See, Smell, and Know is a book written by cognitive scientist, Alexandra Horowitz."
126,Alexandra Sacks,"Crewe Alexandra Football Club is an English professional association football club based in the town of Crewe, Cheshire, that competes in League One, the third tier of the English football league system."
127,Alexandros Charalambides,"Cyprus ( (listen)), officially called the Republic of Cyprus, is an island nation in the eastern Mediterranean Sea."
128,Alexis Charpentier,"Jean-Baptiste Charpentier the Elder (1728, Paris - 3 December 1806, Paris) was a French Rococo portrait painter, associated with the Royal Court."
129,Alexis Gambis,"Alexis Gambis is a French Venezuelan film director, writer, producer and biologist."
130,Alexis Jones,"Alexis Whitney Jones (born July 6, 1983) is an American activist and motivational speaker best known for competing on the reality competition show Survivor."
131,Alexis Ohanian,"Alexis Kerry Ohanian (born April 24, 1983) is an American internet entrepreneur and investor."
132,Ali Carr-Chellman,
133,Ali Kashani,"Sayyed Abol-Ghasem Mostafavi-Kashani (Persian: سید ابوالقاسم کاشانی‎ Abu’l-Qāsem Kāšāni; November 19, 1882 – March 14, 1962) was an Iranian politician and Shia Marja."
134,Alice Bows-Larkin,Alice Larkin (previous married name Bows) is Head of the School of Engineering at the University of Manchester and a Professor of Climate Science and Energy Policy.
135,Alice Dreger,"Alice Domurat Dreger () is a historian, bioethicist, author, and former professor of clinical medical humanities and bioethics at the Feinberg School of Medicine, Northwestern University in Chicago, Illinois.Dreger engages in academic work and activism in support of individuals born with atypical sex characteristics (intersex or disorders of sex development) and individuals born as conjoined twins."
136,Alice Goffman,"Alice Goffman (born 1982) is an American sociologist, urban ethnographer, and Visiting Assistant Professor of Sociology at Pomona College.Goffman is the author of On the Run: Fugitive Life in an American City, for which she received widespread praise as well as criticism for an in-depth look at over-policing, poverty, and incarceration experienced by young black men and their families in Philadelphia."
137,Alice Gorman,"Alice Gorman (born 1964) FSA is an Australian archaeologist, heritage consultant, and lecturer, who is best known for pioneering work in the field of space archaeology and her Space Age Archaeology blog."
138,Alice Pailhès,
139,Alice Rawsthorn,Alice Rawsthorn OBE (born 1958 in Manchester) is a British design critic and author.
140,Alicia Eggert,"This is a list of composers of 20th-century classical music, sortable by name, year of birth, year of death, nationality, notable works, and remarks."
141,"Alicia Garza, Patrisse Cullors and Opal Tometi","Patrisse Marie Khan-Cullors Brignac (née Cullors-Brignac; born June 20, 1983) is an American activist, co-founder of the Black Lives Matter movement, artist and writer."
142,Alicia Malone,"Screen Junkies is an online movie magazine and YouTube channel, owned and operated by Fandom, that focuses primarily on movies and television."
143,Alisa Kazarina,
144,Alisa Miller,
145,Alison Gopnik,"Alison Gopnik (born June 16, 1955) is an American professor of psychology and affiliate professor of philosophy at the University of California, Berkeley."
146,Alison Jackson,"Alison Jackson (born 15 May 1970) is an English contemporary BAFTA and multi award winning artist, photographer and filmmaker whose work explores the theme of celebrity culture."
147,Alison Killing,Alison Killing is a British architect and urban designer.
148,Alison Ledgerwood,"An ideology (/ˌʌɪdɪˈɒlədʒi/) is a set of beliefs or philosophies attributed to a person or group of persons, especially as held for reasons that are not purely epistemic, in which ""practical elements are as prominent as theoretical ones."" Formerly applied primarily to economic, political, or religious theories and policies, in a tradition going back to Karl Marx and Friedrich Engels, more recent use treats the term as mainly condemnatory.The term was coined by Antoine Destutt de Tracy, a French Enlightenment aristocrat and philosopher, who conceived it in 1796 as the ""science of ideas"" to develop a rational system of ideas to oppose the irrational impulses of the mob."
149,Alison Quirk,"Dazzler (Alison Blaire) is a fictional superheroine appearing in American comic books published by Marvel Comics, usually associated with the X-Men."
150,Alison Sander,"Ashton Durrand Sanders (born October 24, 1995) is an American actor."
151,Alix Generous,Alexandra Feodorovna (6 June [O.S. 25 May] 1872 – 17 July 1918) was the empress consort of Emperor Nicholas II of Russia from their marriage on 26 November 1894 until his forced abdication on 15 March [O.S. 2 March] 1917.
152,Allan Adams,
153,Allan Jones,"Allan Jones (October 14, 1907 – June 27, 1992) was an American actor and tenor."
154,Allan Savory,"Clifford Allan Redin Savory (born 15 September 1935) is a Zimbabwean ecologist, livestock farmer, and president and co-founder of the Savory Institute."
155,Allison Hunt,"Owen Hunt, M.D. is a fictional character from the medical drama television series Grey's Anatomy, which airs on the American Broadcasting Company (ABC) in the United States."
156,Allison Ramsey and Mary Staicu,
157,Alvin Irby,"Dallas L. Austin (born December 29, 1970) is an American musician, songwriter, record producer, and film producer."
158,Alwar Balasubramaniam,"Alwar Balasubramaniam also known as “Bala,” is an Indian artist works in a variety of mediums such as sculpture, painting and printmaking."
159,Alyson McGregor,
160,Alyssa Loorya,"Gerritsen Creek is a short watercourse in Brooklyn, New York City that empties into Jamaica Bay."
161,Alyssa Monks,Alyssa Monks (born 1977) is an American painter currently based in Brooklyn.
162,Amanda Bennett,"Amanda Bennett (born July 9, 1952) is an American journalist and author."
163,Amanda Burden,
164,Amanda Gorman,
165,Amanda Little,
166,Amanda Mattes,"Amanda Ingrid Seales (born July 1, 1981), formerly known by the stage name Amanda Diva, is an American entertainer."
167,Amanda Palmer,
168,"Amanda Palmer, Jherek Bischoff, Usman Riaz",
169,Amanda Schochet,
170,Amanda Williams,"Amanda F. Williams (born December 12, 1946) is a former Superior Court judge on the Brunswick Circuit in Georgia."
171,Amane Dannouni,
172,Amar Inamdar,Awam (transl. the Public) is a  1987 Indian Hindi-language film directed by B. R. Chopra.
173,Amara Berry,"Solanum dulcamara is a species of vine in the potato genus Solanum, family Solanaceae."
174,Amber Case,"Amber Case (born Portland, Oregon) is an American cyborg anthropologist, user experience designer and public speaker."
175,Amber M. Yates,Michigan is a state located in the Midwestern United States.
176,Amber McReynolds,Amber Faye McReynolds (born 1979) is an American election administration expert who is a member of the Board of Governors of the United States Postal Service.
177,Amber Stuver,"Vigo (, Galician: [ˈbiɣʊ], locally [ˈbiħʊ], Spanish: [ˈbiɣo]) is an industrial city and municipality in the province of Pontevedra, within the autonomous community of Galicia, Spain."
178,Ameenah Gurib-Fakim,Dr.
179,Ameenah Gurib-Fakim and Stephanie Busari,
180,Ameera Harouda,
181,Amel Karboul,"Amel Karboul (Tunisian Arabic: آمال كربول), born April 25, 1973, is a Tunisian author, speaker, politician, philanthropist, and business leader."
182,Amelia Laytham,The 1939 New Year Honours were appointments by King George VI to various orders and honours to reward and highlight good works by citizens of the United Kingdom and British Empire.
183,America Ferrera,
184,Ami Angelowicz,"Christin Hinojosa (married name Kirschenbaum; born October 3, 1975) is an American actress best known for her role as Sabrina in Dazed and Confused."
185,Ami Klin,Ami Klin is an American psychologist who studies autism.
186,Amishi Jha,"Amishi Jha is an associate professor of psychology at the University of Miami whose research on attention, working memory, and mindfulness has investigated the neural bases of executive functioning and mental training using various cognitive neuroscience techniques."
187,Amit Kalra,"Hero – Gayab Mode On is an Indian Hindi language fantasy drama television series, produced under Peninsula Pictures by Alind Srivastava and Nissar Parvez."
188,Amit Sood,"Amit Sood is a professor of medicine at Mayo Clinic College of Medicine, Rochester, Minnesota, and serving as chair of the Mayo Mind Body Initiative."
189,Amma Y. Ghartey-Tagoe Kootin,
190,Amory Lovins,"Amory Bloch Lovins (born 13 November 1947) is an American writer, physicist, and chairman/chief scientist of the Rocky Mountain Institute."
191,Amos Winter,"""Winter"" is a song by American singer-songwriter and musician Tori Amos, first released in 1992."
192,Amy Adele Hasinoff,Child pornography (also called child sexual abuse material or child porn) is pornography that exploits children for sexual stimulation.
193,Amy Adkins,"Tracy Darrell Adkins (born January 13, 1962) is an American country singer and actor."
194,Amy C. Edmondson,"Amy C. Edmondson is an American scholar of leadership, teaming, and organizational learning."
195,Amy Cuddy,"Amy Joy Casselberry Cuddy (born July 23, 1972) is an American social psychologist, author and speaker."
196,Amy Edmondson,"Amy C. Edmondson is an American scholar of leadership, teaming, and organizational learning."
197,Amy Green,Various characters appeared in the sitcom Friends  which respectively aired for ten seasons and the series Joey for two seasons  on NBC from 1994 to 2006.
198,Amy Herman,"Megan Is Missing is a 2011 American found footage psychological horror film written, directed, edited, and co-produced by Michael Goi."
199,Amy Hrdina and Jesse Kroll,
200,Amy Lockwood,"Amanda Clare ""Amy"" Lockwood (born April 29, 1987) is a Canadian actor, comedian, singer-songwriter."
201,Amy Milton,"Amy Duggan ""Sister"" Archer-Gilligan (October 31, 1873 – April 23, 1962) was a nursing home proprietor and serial killer from Windsor, Connecticut."
202,Amy Nicole Baker,"Leigh-Allyn Baker (born March 13, 1972) is an American actress."
203,Amy Padnani,"Rosebank is a neighborhood in the northeastern part of Staten Island, one of the five boroughs of New York City."
204,Amy Price Azano,
205,Amy Purdy,"Amelia Michelle ""Amy"" Purdy (born November 7, 1979) is an American actress, model, para-snowboarder, motivational speaker, clothing designer and author."
206,Amy Smith,
207,Amy Tan,"Amy Ruth Tan (born February 19, 1952) is an American author known for the novel The Joy Luck Club, which was adapted into a film of the same name in 1993 by director Wayne Wang."
208,Amy Webb,"Amy Lynn Webb (born 18 October 1974) is an American futurist, author and founder and CEO of the Future Today Institute."
209,Anab Jain,"TED Talks India (originally known as TED Talks India Nayi Soch (Season 1) and also known as TED Talks India Nayi Baat (Season 2)) is an Indian talk show hosted by Shah Rukh Khan, that premiered on Star Plus."
210,Anand Agarawala,BumpTop was a 3D desktop environment that simulates the normal behavior and physical properties of a real-world desk and enhances it with automatic tools to organize its contents.
211,Anand Giridharadas,Anand Giridharadas (;) is an American writer.
212,Anand Varma,Adithya Varma is a 2019 Indian Tamil-language romantic drama film directed by Gireesaaya in his directorial debut and produced by Mukesh Mehta under E4 Entertainment.
213,Ananda Shankar Jayant,"Ananda Shankar Jayant is an Indian classical dancer, choreographer, scholar and bureaucrat, known for her proficiency in the classical dance forms of Bharatanatyam and Kuchipudi."
214,Anant Agarwal,Anant Agarwal is an Indian computer architecture researcher.
215,Ananya Grover,Eva Grover is an Indian film and television actress.
216,Anas Aremeyaw Anas,"Anas Aremeyaw Anas, better known as Anas, is a Ghanaian investigative journalist born in the late 1970s."
217,Anastasia Penright,
218,Anastasia Taylor-Lind,Anastasia Taylor-Lind (born 1981) is an English/Swedish photojournalist.
219,Anders Fjellberg,SKUP Award (SKUP-prisen) is a Norwegian journalism award.
220,Anders Ynnerman,"The IEEE Visualization Conference (VIS) is an annual conference on scientific visualization, information visualization, and visual analytics administrated by the IEEE Computer Society Technical Committee on Visualization and Graphics."
221,Andras Forgacs,"András Forgács (born 28 August 1985, in Budapest) is a Hungarian football (defender) player who currently plays for Budaörsi SC."
222,Andrea Ghez,"Andrea Mia Ghez (born June 16, 1965) is an American astronomer and professor in the Department of Physics and Astronomy at the University of California, Los Angeles."
223,Andrea Gibson,"Andrea Gibson (born August 13, 1975) is an American poet and activist from Calais, Maine, who has lived in Boulder, Colorado since 1999."
224,Andrea M. Henle,Loop diuretics are diuretics that act at the ascending limb of the loop of Henle in the kidney.
225,Andreas Ekström,Johannes Anyuru  (born 23 March 1979) is a Swedish poet and author.
226,Andreas Raptopoulos,This is a list of Greek writers.
227,Andreas Schleicher,Andreas Schleicher (born 7 July 1964) is a German-born statistician and researcher in the field of education.
228,Andreea S. Calude,"Eurasiatic is a proposed language macrofamily that would include many language families historically spoken in northern, western, and southern Eurasia."
229,Andres Lozano,Andrés Lozano Lozano (born 15 February 1970) is a Mexican lawyer and politician affiliated with the Party of the Democratic Revolution.
230,Andrew Arruda,"Eduardo Gonçalves de Andrade (born 25 January 1947), generally known as Tostão, is a retired Brazilian footballer who played as a forward or attacking midfielder."
231,Andrew Bastawrous,"Since 1976, through the Rolex Awards for Enterprise, Rolex has supported exceptional individuals who have the courage and conviction to take on major challenges; men and women who have a spirit of enterprise, initiating extraordinary projects that make the world a better place."
232,Andrew Bird,"Andrew Wegman Bird (born July 11, 1973) is an American indie rock multi-instrumentalist, singer and songwriter."
233,Andrew Blum,Andrew Blum is an American author and journalist.
234,Andrew Connolly,Andrew Connolly (born 30 November 1965) is an Irish stage and screen actor and director.
235,Andrew Dent,Andrew Wesley Dent AM (1 February 1955 –   10 June 2008) was an Australian doctor and humanitarian worker.
236,Andrew Fitzgerald,"Andrew Fitzgerald  (born December 10, 1990) is an American professional basketball player for Bambitious Nara in Japan."
237,Andrew Forrest,"John Andrew Henry Forrest  (born 5 July 1961), nicknamed Twiggy, is an Australian businessman."
238,Andrew Marantz,"Andrew Marantz (born September 26, 1984) is an American author and journalist.Marantz was an undergraduate at Brown University from 2002 to 2006 with a bachelor's degree in religion and religious studies."
239,Andrew McAfee,"Andrew Paul McAfee (born c. 1967), a principal research scientist at MIT, is cofounder and codirector of the MIT Initiative on the Digital Economy at the MIT Sloan School of Management."
240,Andrew Millar,Andrew Millar (1705 – 8 June 1768) was a Scottish publisher in the eighteenth century.
241,Andrew Mwenda,"Andrew Mwenda (born 1972) is a Ugandan print, radio and television journalist, and the founder and owner of The Independent, a current affairs newsmagazine."
242,Andrew Nemr,"Surel's Place is an  artist in residency program located in Garden City, Idaho in a home studio designed by local artist Surel Lee Mitchell, who died of lung cancer on October 10, 2011, twenty years after she quit smoking (only non-smokers are accepted)."
243,Andrew Peek,"Daniel Milton Peek (November 1, 1950 – July 24, 2011) was an American musician best known as a member of the folk rock band America from 1970 to 1977, together with Gerry Beckley and Dewey Bunnell."
244,Andrew Pelling,Andrew John Pelling (born 20 August 1959) is a British politician.
